path,name,family,role,sizeX,sizeY,sizeZ,minX,minY,minZ,maxX,maxY,maxZ,renderers,triangles,materials,skinned
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Barn_03.prefab","SM_Bld_Barn_03",Bld,Other,9.77,9.11,7.44,-4.88,0.00,-3.72,4.88,9.11,3.72,7,8160,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_ConcreteBase_01.prefab","SM_Bld_ConcreteBase_01",Bld,Other,4.50,0.99,4.50,-2.25,-0.81,-2.25,2.25,0.18,2.25,1,48,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Farmhouse_01.prefab","SM_Bld_Farmhouse_01",Bld,Other,13.45,9.82,10.95,-6.73,-0.19,-5.48,6.73,9.63,5.48,5,14828,2,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Farmhouse_02.prefab","SM_Bld_Farmhouse_02",Bld,Other,8.58,6.79,9.21,-4.29,-0.17,-4.60,4.29,6.62,4.60,3,7347,2,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Garage_01.prefab","SM_Bld_Garage_01",Bld,Other,13.89,4.87,6.88,-6.94,0.00,-3.44,6.94,4.87,3.44,2,2952,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Greenhouse_01.prefab","SM_Bld_Greenhouse_01",Bld,Other,5.57,4.99,7.71,-2.79,0.00,-3.79,2.79,4.99,3.92,6,628,2,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Greenhouse_Large_01.prefab","SM_Bld_Greenhouse_Large_01",Bld,Other,12.87,6.77,32.46,-6.43,-0.43,-16.23,6.43,6.35,16.23,10,1828,2,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Outhouse_01.prefab","SM_Bld_Outhouse_01",Bld,Other,1.87,3.18,2.39,-0.93,0.00,-1.19,0.93,3.18,1.19,2,1113,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_ProduceStand_01.prefab","SM_Bld_ProduceStand_01",Bld,Other,3.08,3.33,3.08,-1.52,0.00,-1.50,1.56,3.33,1.57,1,1936,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Shelter_01.prefab","SM_Bld_Shelter_01",Bld,Other,4.93,3.61,3.60,-2.47,0.00,-1.80,2.47,3.61,1.80,1,824,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Silo_01.prefab","SM_Bld_Silo_01",Bld,Other,5.11,18.59,5.47,-2.56,0.00,-2.74,2.56,18.59,2.74,1,508,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Silo_02.prefab","SM_Bld_Silo_02",Bld,Other,5.11,18.59,5.47,-2.56,0.00,-2.74,2.56,18.59,2.74,1,304,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Silo_Base_01.prefab","SM_Bld_Silo_Base_01",Bld,Other,6.84,0.81,6.84,-3.42,-0.81,-3.42,3.42,0.00,3.42,1,88,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Silo_Small_01.prefab","SM_Bld_Silo_Small_01",Bld,Other,4.58,4.59,4.58,-2.29,0.00,-2.29,2.29,4.59,2.29,1,424,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_WaterTower_01.prefab","SM_Bld_WaterTower_01",Bld,Other,2.68,8.42,2.85,-1.34,0.00,-1.42,1.34,8.42,1.42,1,1786,1,0
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Attach_Buckethat_01.prefab","SM_Chr_Attach_Buckethat_01",Chr,Other,0.45,0.23,0.44,-0.22,0.03,-0.21,0.22,0.27,0.23,1,112,1,0
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Attach_Cap_01.prefab","SM_Chr_Attach_Cap_01",Chr,Other,0.27,0.17,0.43,-0.14,0.10,-0.14,0.14,0.26,0.28,1,120,1,0
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Attach_Cap_02.prefab","SM_Chr_Attach_Cap_02",Chr,Other,0.27,0.17,0.43,-0.14,0.10,-0.14,0.14,0.27,0.28,1,158,1,0
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Attach_CowboyHat_01.prefab","SM_Chr_Attach_CowboyHat_01",Chr,Other,0.51,0.26,0.48,-0.25,0.04,-0.24,0.25,0.30,0.25,1,148,1,0
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Attach_CowboyHat_02.prefab","SM_Chr_Attach_CowboyHat_02",Chr,Other,0.51,0.26,0.48,-0.25,0.04,-0.23,0.25,0.30,0.25,1,148,1,0
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Attach_Glasses_01.prefab","SM_Chr_Attach_Glasses_01",Chr,Other,0.24,0.09,0.19,-0.12,0.05,-0.04,0.12,0.13,0.14,1,164,1,0
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Attach_ScarecrowHat_01.prefab","SM_Chr_Attach_ScarecrowHat_01",Chr,Other,0.56,0.40,0.52,-0.28,0.02,-0.25,0.28,0.42,0.27,1,222,1,0
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Attach_Wheat_01.prefab","SM_Chr_Attach_Wheat_01",Chr,Other,0.14,0.11,0.12,-0.15,-0.10,0.12,-0.01,0.00,0.25,1,56,1,0
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_FarmBoy_01.prefab","SM_Chr_FarmBoy_01",Chr,Other,2.05,1.84,0.39,-1.02,-0.01,-0.20,1.02,1.82,0.19,6,12616,1,1
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_FarmGirl_01.prefab","SM_Chr_FarmGirl_01",Chr,Other,2.05,1.84,0.39,-1.02,-0.01,-0.20,1.02,1.82,0.19,6,12616,1,1
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Farmer_Female_01.prefab","SM_Chr_Farmer_Female_01",Chr,Other,2.05,1.84,0.39,-1.02,-0.01,-0.20,1.02,1.82,0.19,6,12616,1,1
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Farmer_Male_01.prefab","SM_Chr_Farmer_Male_01",Chr,Other,2.05,1.84,0.39,-1.02,-0.01,-0.20,1.02,1.82,0.19,6,12616,1,1
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Farmer_Male_Old_01.prefab","SM_Chr_Farmer_Male_Old_01",Chr,Other,2.05,1.84,0.39,-1.02,-0.01,-0.20,1.02,1.82,0.19,6,12616,1,1
"Assets/Synty/PolygonFarm/Prefabs/Characters/SM_Chr_Scarecrow_01.prefab","SM_Chr_Scarecrow_01",Chr,Other,2.05,1.84,0.39,-1.02,-0.01,-0.20,1.02,1.82,0.19,6,12616,1,1
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Dirt_01.prefab","SM_Env_Dirt_01",Env,Other,5.00,0.13,5.00,-5.00,0.00,0.00,0.00,0.13,5.00,1,300,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Dirt_Mound_01.prefab","SM_Env_Dirt_Mound_01",Env,Other,0.39,0.16,0.35,-0.19,-0.06,-0.19,0.20,0.09,0.16,1,20,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Dirt_Rows_01.prefab","SM_Env_Dirt_Rows_01",Env,Other,4.99,0.20,5.07,-4.99,0.00,-0.02,0.00,0.20,5.04,1,499,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Dirt_Rows_Center_01.prefab","SM_Env_Dirt_Rows_Center_01",Env,Other,5.00,0.19,5.00,-5.00,0.00,0.00,0.00,0.19,5.00,1,364,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Dirt_Rows_End_Bottom_01.prefab","SM_Env_Dirt_Rows_End_Bottom_01",Env,Other,5.00,0.19,5.00,-5.00,0.00,0.00,0.00,0.19,5.00,1,469,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Dirt_Rows_End_Top_01.prefab","SM_Env_Dirt_Rows_End_Top_01",Env,Other,5.00,0.19,5.00,-5.00,0.00,0.00,0.00,0.19,5.00,1,469,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Dirt_Rows_Mounds_01.prefab","SM_Env_Dirt_Rows_Mounds_01",Env,Other,4.73,0.20,4.58,-4.84,0.00,0.20,-0.11,0.20,4.78,1,300,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Dirt_Rows_Skirt_01.prefab","SM_Env_Dirt_Rows_Skirt_01",Env,Other,5.65,0.33,5.74,-5.30,-0.13,-0.35,0.36,0.20,5.40,1,577,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Dirt_Skirt_01.prefab","SM_Env_Dirt_Skirt_01",Env,Other,5.92,0.36,5.83,-5.50,-0.22,-0.37,0.42,0.13,5.46,1,352,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Flowers_01.prefab","SM_Env_Flowers_01",Env,Other,1.44,0.51,1.13,-0.78,-0.17,-0.50,0.66,0.35,0.62,1,795,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Flowers_02.prefab","SM_Env_Flowers_02",Env,Other,0.98,0.51,0.69,-0.49,-0.17,-0.35,0.49,0.35,0.35,1,424,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Flowers_03.prefab","SM_Env_Flowers_03",Env,Other,0.60,0.51,0.41,-0.32,-0.17,-0.18,0.28,0.35,0.23,1,212,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Lillypads_01.prefab","SM_Env_Lillypads_01",Env,Other,3.43,0.18,2.99,-1.72,-0.02,-1.50,1.72,0.16,1.50,1,286,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Lillypads_02.prefab","SM_Env_Lillypads_02",Env,Other,4.48,0.21,2.73,-2.24,-0.01,-1.36,2.24,0.20,1.36,1,498,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Pebbles_01.prefab","SM_Env_Pebbles_01",Env,Other,0.72,0.17,1.02,-0.36,-0.04,-0.51,0.36,0.14,0.51,1,64,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Pebbles_02.prefab","SM_Env_Pebbles_02",Env,Other,1.33,0.17,3.10,-0.67,0.00,-1.55,0.67,0.17,1.55,1,144,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Pebbles_03.prefab","SM_Env_Pebbles_03",Env,Other,0.60,0.12,0.50,-0.24,-0.04,-0.25,0.36,0.09,0.24,1,44,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Pond_01.prefab","SM_Env_Pond_01",Env,Other,37.28,2.05,40.23,-19.14,-1.44,-18.77,18.14,0.61,21.46,2,642,2,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_PuddlePlane_01.prefab","SM_Env_PuddlePlane_01",Env,Other,8.11,0.68,11.95,-4.05,-0.68,-5.97,4.05,0.00,5.97,1,26,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Reeds_01.prefab","SM_Env_Reeds_01",Env,Other,0.77,2.19,0.75,-0.35,-0.60,-0.38,0.42,1.59,0.38,1,136,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Reeds_02.prefab","SM_Env_Reeds_02",Env,Other,0.88,2.14,0.92,-0.44,-0.59,-0.46,0.43,1.55,0.46,1,226,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Reeds_03.prefab","SM_Env_Reeds_03",Env,Other,0.99,2.03,1.01,-0.50,-0.59,-0.50,0.50,1.43,0.50,1,168,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Dirt_Corner_01.prefab","SM_Env_Road_Dirt_Corner_01",Env,Other,9.40,0.27,9.40,-3.45,0.00,-5.96,5.96,0.27,3.45,1,257,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Dirt_Corner_02.prefab","SM_Env_Road_Dirt_Corner_02",Env,Other,10.43,0.27,13.91,-3.58,0.00,-6.83,6.85,0.27,7.07,1,270,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Dirt_End_01.prefab","SM_Env_Road_Dirt_End_01",Env,Other,15.29,0.60,15.02,-8.31,-0.32,-9.06,6.97,0.27,5.96,1,270,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Dirt_End_02.prefab","SM_Env_Road_Dirt_End_02",Env,Other,25.49,0.60,15.02,-12.81,-0.32,-9.06,12.68,0.27,5.96,1,270,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Dirt_Intersection_01.prefab","SM_Env_Road_Dirt_Intersection_01",Env,Other,11.91,0.27,11.91,-5.96,0.00,-5.96,5.96,0.27,5.96,1,473,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Dirt_Straight_01.prefab","SM_Env_Road_Dirt_Straight_01",Env,Other,7.10,0.27,11.91,-3.58,0.00,-5.96,3.52,0.27,5.96,1,270,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Dirt_Swerve_01.prefab","SM_Env_Road_Dirt_Swerve_01",Env,Other,13.03,0.28,41.91,-9.00,0.00,-41.14,4.03,0.28,0.77,1,485,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Dirt_Swerve_02.prefab","SM_Env_Road_Dirt_Swerve_02",Env,Other,16.08,0.28,41.91,-12.63,0.00,-35.96,3.45,0.28,5.96,1,489,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Dirt_T_Section_01.prefab","SM_Env_Road_Dirt_T_Section_01",Env,Other,11.91,0.27,9.53,-5.96,0.00,-4.77,5.96,0.27,4.77,1,435,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_GrassEdge_01.prefab","SM_Env_Road_GrassEdge_01",Env,Other,4.43,0.50,14.52,-2.29,0.00,-7.26,2.14,0.50,7.26,1,74,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_GrassEdge_02.prefab","SM_Env_Road_GrassEdge_02",Env,Other,5.10,0.50,14.72,-2.79,0.00,-7.36,2.31,0.50,7.36,1,69,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Gravel_Corner_01.prefab","SM_Env_Road_Gravel_Corner_01",Env,Other,11.18,0.31,11.50,-4.53,0.00,-6.75,6.65,0.31,4.75,1,254,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Gravel_Corner_02.prefab","SM_Env_Road_Gravel_Corner_02",Env,Other,12.72,0.30,14.95,-4.77,0.00,-6.81,7.95,0.30,8.14,1,270,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Gravel_End_01.prefab","SM_Env_Road_Gravel_End_01",Env,Other,17.54,0.56,15.02,-9.35,-0.32,-9.06,8.19,0.24,5.96,1,270,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Gravel_End_02.prefab","SM_Env_Road_Gravel_End_02",Env,Other,27.72,0.55,14.90,-13.92,-0.31,-8.94,13.80,0.23,5.96,1,266,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Gravel_Intersection_01.prefab","SM_Env_Road_Gravel_Intersection_01",Env,Other,15.00,0.28,15.00,-7.50,0.00,-7.50,7.50,0.28,7.50,1,473,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Gravel_Straight_01.prefab","SM_Env_Road_Gravel_Straight_01",Env,Other,9.37,0.29,11.91,-4.72,0.00,-5.96,4.65,0.29,5.96,1,270,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Gravel_Swerve_01.prefab","SM_Env_Road_Gravel_Swerve_01",Env,Other,15.22,0.33,41.91,-10.02,0.00,-41.14,5.20,0.33,0.77,1,485,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Gravel_Swerve_02.prefab","SM_Env_Road_Gravel_Swerve_02",Env,Other,18.30,0.32,41.91,-13.85,0.00,-35.96,4.45,0.32,5.96,1,489,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Gravel_T_Section_01.prefab","SM_Env_Road_Gravel_T_Section_01",Env,Other,15.67,0.32,12.36,-7.83,0.00,-6.27,7.83,0.32,6.09,1,435,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Pebbles_01.prefab","SM_Env_Road_Pebbles_01",Env,Other,6.96,0.24,8.68,-3.48,0.00,-4.34,3.48,0.24,4.34,1,231,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Road_Pebbles_02.prefab","SM_Env_Road_Pebbles_02",Env,Other,5.63,0.25,10.19,-2.82,0.00,-5.10,2.82,0.25,5.10,1,231,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Apple_01.prefab","SM_Env_Tree_Apple_01",Env,Other,2.93,4.30,2.96,-1.46,-0.15,-1.55,1.46,4.14,1.41,1,336,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Apple_Grown_01.prefab","SM_Env_Tree_Apple_Grown_01",Env,Other,3.04,4.30,2.96,-1.46,-0.15,-1.55,1.57,4.14,1.41,1,1044,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Apricot_01.prefab","SM_Env_Tree_Apricot_01",Env,Other,4.11,4.87,3.12,-2.27,-0.32,-1.99,1.84,4.54,1.14,1,442,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Apricot_Grown_01.prefab","SM_Env_Tree_Apricot_Grown_01",Env,Other,4.13,4.87,3.12,-2.27,-0.32,-1.99,1.86,4.54,1.14,1,1860,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Cherry_01.prefab","SM_Env_Tree_Cherry_01",Env,Other,3.29,4.34,3.07,-1.79,-0.19,-1.31,1.50,4.15,1.76,1,484,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Cherry_Grown_01.prefab","SM_Env_Tree_Cherry_Grown_01",Env,Other,3.29,4.34,3.07,-1.79,-0.19,-1.31,1.50,4.15,1.76,1,2250,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Large_01.prefab","SM_Env_Tree_Large_01",Env,Other,14.31,12.84,10.49,-8.75,-0.65,-6.74,5.56,12.19,3.75,2,4450,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Lemon_01.prefab","SM_Env_Tree_Lemon_01",Env,Other,1.73,2.76,1.77,-1.01,-0.21,-1.08,0.72,2.55,0.69,1,229,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Lemon_Grown_01.prefab","SM_Env_Tree_Lemon_Grown_01",Env,Other,1.73,2.76,1.77,-0.86,-0.21,-0.88,0.86,2.55,0.88,1,845,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Orange_01.prefab","SM_Env_Tree_Orange_01",Env,Other,3.11,3.20,3.18,-1.37,-0.23,-1.89,1.74,2.96,1.30,1,229,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Orange_Grown_01.prefab","SM_Env_Tree_Orange_Grown_01",Env,Other,3.11,3.20,3.18,-1.37,-0.23,-1.89,1.74,2.96,1.30,1,845,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Peach_01.prefab","SM_Env_Tree_Peach_01",Env,Other,3.24,4.51,2.71,-1.67,-0.19,-1.43,1.56,4.32,1.29,1,280,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Peach_Grown_01.prefab","SM_Env_Tree_Peach_Grown_01",Env,Other,3.24,4.51,2.73,-1.67,-0.19,-1.43,1.56,4.32,1.30,1,1038,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Pear_01.prefab","SM_Env_Tree_Pear_01",Env,Other,2.39,3.82,2.15,-1.28,-0.11,-1.10,1.11,3.71,1.05,1,306,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Pear_Grown_01.prefab","SM_Env_Tree_Pear_Grown_01",Env,Other,2.39,3.82,2.15,-1.28,-0.11,-1.10,1.11,3.71,1.05,1,1504,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Plum_01.prefab","SM_Env_Tree_Plum_01",Env,Other,2.52,3.74,2.01,-1.36,-0.13,-1.11,1.16,3.61,0.90,1,280,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Plum_Grown_01.prefab","SM_Env_Tree_Plum_Grown_01",Env,Other,2.52,3.74,2.01,-1.36,-0.13,-1.11,1.16,3.61,0.90,1,978,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Stump_01.prefab","SM_Env_Tree_Stump_01",Env,Other,2.20,1.53,2.27,-1.18,-0.64,-1.25,1.02,0.88,1.02,1,168,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Stump_02.prefab","SM_Env_Tree_Stump_02",Env,Other,1.05,0.83,0.89,-0.50,-0.36,-0.51,0.54,0.47,0.38,1,64,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Tree_Stump_03.prefab","SM_Env_Tree_Stump_03",Env,Other,0.77,0.69,0.67,-0.37,-0.20,-0.34,0.40,0.49,0.33,1,84,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Vege_Rows_01.prefab","SM_Env_Vege_Rows_01",Env,Other,4.32,0.34,4.82,-4.66,0.00,0.12,-0.34,0.34,4.94,1,499,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Vege_Rows_02.prefab","SM_Env_Vege_Rows_02",Env,Other,4.40,0.26,4.50,-4.71,0.08,0.23,-0.31,0.34,4.72,1,882,1,0
"Assets/Synty/PolygonFarm/Prefabs/Environments/SM_Env_Vege_Rows_03.prefab","SM_Env_Vege_Rows_03",Env,Other,4.53,0.42,4.58,-4.78,0.04,0.12,-0.25,0.46,4.71,1,1000,1,0
"Assets/Synty/PolygonFarm/Prefabs/FX/FX_Dust_Wind_01.prefab","FX_Dust_Wind_01",Dust,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PolygonFarm/Prefabs/FX/FX_Fire_01.prefab","FX_Fire_01",Fire,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PolygonFarm/Prefabs/FX/FX_Fire_02.prefab","FX_Fire_02",Fire,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PolygonFarm/Prefabs/FX/FX_Pollen_Wind_01.prefab","FX_Pollen_Wind_01",Pollen,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PolygonFarm/Prefabs/FX/FX_Rain.prefab","FX_Rain",Other,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PolygonFarm/Prefabs/FX/FX_Sprayer.prefab","FX_Sprayer",Other,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PolygonFarm/Prefabs/FX/FX_Sprinkler_01.prefab","FX_Sprinkler_01",Sprinkler,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
